county,cases
New York State,445714
Albany,2936
Allegany,94
Bronx,52335
Broome,1423
Cattaraugus,242
Cayuga,191
Chautauqua,523
Chemung,269
Chenango,245
Clinton,154
Columbia,577
Cortland,137
Delaware,128
Dutchess,5006
Erie,10716
Essex,153
Franklin,63
Fulton,324
Genesee,307
Greene,318
Hamilton,14
Herkimer,313
Jefferson,158
Kings,66381
Lewis,50
Livingston,196
Madison,480
Monroe,5793
Montgomery,218
Nassau,45840
New York,32772
Niagara,1693
Oneida,2356
Onondaga,4114
Ontario,444
Orange,11676
Orleans,322
Oswego,402
Otsego,316
Putnam,1564
Queens,71254
Rensselaer,884
Richmond,15631
Rockland,14617
St. Lawrence,308
Saratoga,965
Schenectady,1358
Schoharie,83
Schuyler,33
Seneca,104
Steuben,331
Suffolk,45785
Sullivan,1559
Tioga,221
Tompkins,384
Ulster,2225
Warren,348
Washington,284
Wayne,304
Westchester,37601
Wyoming,130
Yates,62
Out of NY,0
Unassigned,0
