countyFIPS,County,State,Cases,population,Mortality
1001,Autauga,AL,6416,55869,95
1003,Baldwin,AL,20091,223234,294
1005,Barbour,AL,2181,24686,52
1007,Bibb,AL,2479,22394,60
1009,Blount,AL,6288,57826,129
1011,Bullock,AL,1185,10101,39
1013,Butler,AL,2038,19448,66
1015,Calhoun,AL,14055,113605,299
1017,Chambers,AL,3441,33254,113
1019,Cherokee,AL,1788,26196,42
1021,Chilton,AL,3955,44428,105
1023,Choctaw,AL,571,12589,24
1025,Clarke,AL,3463,23622,55
1027,Clay,AL,1469,13235,54
1029,Cleburne,AL,1411,14910,41
1031,Coffee,AL,5287,52342,104
1033,Colbert,AL,6031,55241,125
1035,Conecuh,AL,1075,12067,24
1037,Coosa,AL,912,10663,24
1039,Covington,AL,4014,37049,108
1041,Crenshaw,AL,1484,13772,55
1043,Cullman,AL,9062,83768,183
1045,Dale,AL,4701,49172,108
1047,Dallas,AL,3445,37196,143
1049,DeKalb,AL,8578,71513,178
1051,Elmore,AL,9633,81209,194
1053,Escambia,AL,3807,36633,73
1055,Etowah,AL,13485,102268,335
1057,Fayette,AL,2033,16302,58
1059,Franklin,AL,4048,31362,82
1061,Geneva,AL,2417,26271,71
1063,Greene,AL,890,8111,32
1065,Hale,AL,2134,14651,72
1067,Henry,AL,1842,17205,41
1069,Houston,AL,10198,105882,266
1071,Jackson,AL,6573,51626,105
1073,Jefferson,AL,72676,658573,1418
1075,Lamar,AL,1351,13805,33
1077,Lauderdale,AL,8683,92729,215
1079,Lawrence,AL,2870,32924,92
1081,Lee,AL,15138,164542,162
1083,Limestone,AL,9483,98915,142
1085,Lowndes,AL,1339,9726,52
1087,Macon,AL,1489,18068,45
1089,Madison,AL,32892,372909,479
1091,Marengo,AL,2467,18863,59
1093,Marion,AL,2948,29709,98
1095,Marshall,AL,11510,96774,216
1097,Mobile,AL,36694,413210,752
1099,Monroe,AL,1673,20733,39
1101,Montgomery,AL,22975,226486,536
1103,Morgan,AL,13865,119679,258
1105,Perry,AL,1072,8923,27
